featureType,featureId,name,shop,brand,hours,latitude,longitude
node,4614040399,Columbus Pizza,,,,37.7981643,-122.4068499
node,4614040695,Sam's,,,,37.7979313,-122.4073539
node,4616049557,Phillies authentic cheesesteaks,,,,37.7160016,-122.4405766
node,4618173070,Munchboxx,,,,37.7944950,-122.4039275
node,4625105136,,,,,37.7825575,-122.4169342
node,4625128135,L&L Hawaiian Barbecue,,L&L Hawaiian Barbecue,,37.7910390,-122.4039792
node,4625131490,Tenmatsu Grab and Co.,,,,37.7912862,-122.4040363
node,4625139243,Allstars Donuts & Burgers,,,,37.7818115,-122.4153879
node,4625142121,The Dog House,,,,37.8084398,-122.4099566
node,4625221571,Lee's Sandwiches,,Lee's Sandwiches,,37.7836664,-122.4177655
node,4625221572,El Castillito Taquerias,,,,37.7819070,-122.4146132
node,4625221574,Taj Pizza,,,,37.7818095,-122.4152629
node,4625221576,Subway,,Subway,,37.7813500,-122.4168048
node,4625289655,Boston Market,,Boston Market,,37.7659117,-122.4079760
node,4626983989,McDonald's,,McDonald's,,37.7892272,-122.4077251
node,4627439389,Taco Bell,,Taco Bell,,37.7812230,-122.4641295
node,4628353543,Subway,,Subway,,37.7905928,-122.4045089
node,4628460555,Royality,,,,37.7861548,-122.4169415
node,4631708919,Pizzeria,,,,37.7847383,-122.4129996
node,4631708920,Young-Ellis,,,,37.7850015,-122.4126773
node,4632000732,Jamba Juice,,Jamba Juice,,37.7895996,-122.4036932
node,4632000733,Jimmy John's,,Jimmy John's,,37.7925096,-122.3989062
node,4632000739,Sushirrito,,,,37.7902169,-122.4037967
node,4632000742,Rooster and Rice,,,,37.7892684,-122.4039174
node,4632000807,SF Wraps,,,,37.7905380,-122.4041513
node,4632000811,Subway,,Subway,,37.7923499,-122.3999558
node,4632030144,Truck Stop,,,,37.7901812,-122.3973252
node,4632112446,Happy Donuts,,,,37.7915853,-122.3998048
node,4636119989,Subway,,Subway,,37.7931578,-122.4026987
node,4637210182,Hot Sauce and Panko,,,,37.7945086,-122.4179820
node,4637367276,Burger King,,Burger King,,37.7849912,-122.4084582
node,4637572306,Wings Plus,,,,37.7863082,-122.4132350
node,4637773274,Happy Donut,,,,37.7849883,-122.4109965
node,4840631552,Stelladoro Pizza,,,,37.7771074,-122.4380571
node,4852619953,Cheese Steak Shop,,,,37.7855574,-122.4397700
node,4900833141,Usagi,,,,37.7774018,-122.4631888
node,4925135942,Protect Juice,,,,37.7603091,-122.4215990
node,5000877804,Papa John's,,Papa John's,,37.7881885,-122.4176155
node,5093230381,Chipotle,,Chipotle,,37.7943113,-122.3975668
node,5098140329,Sunset Squares Slice Shop,,,,37.7747353,-122.4379230
node,5115916022,Bandit,,,,37.7864542,-122.4145370
node,5120918721,Roam Artisan Burgers,,,,37.7978587,-122.4285532
node,5182462005,Volare Pizza & Mediterranean Fusion,,,,37.7723075,-122.4297398
node,5274208225,Mission Picnic,,,,37.7552248,-122.4203609
node,5315466468,,,,,37.7852669,-122.4332747
node,5315466471,Extreme Pizza,,Extreme Pizza,,37.7856979,-122.4330068
node,5317135193,Extreme Pizza,,Extreme Pizza,,37.7976630,-122.4318193
node,5352315966,Casa Mexicana,,,,37.7681240,-122.4291930
node,5467205325,Roli Roti,,,,37.7953187,-122.3920657
node,5538797016,Ganim's,,,,37.7625973,-122.3944174
node,5595155727,Subway,,Subway,,37.7890185,-122.3946318
node,5617965927,Panda Express,,Panda Express,,37.7831922,-122.4325599
node,5617978242,Panda Express,,Panda Express,,37.7635408,-122.4583748
node,5617993834,Panda Express,,Panda Express,,37.7277353,-122.4766546
node,5762574353,Media noche,,,,37.7600455,-122.4207811
node,5836829985,Chisme Cantina,,,,37.7885975,-122.4146965
node,5840881685,Escape from New York Pizza,,,,37.7693229,-122.4514111
node,5987850711,Healthy U,,,,37.7221604,-122.4786762
node,6212265323,Louisiana Famous Fried Chicken,,Louisiana Famous Fried Chicken,,37.7783740,-122.3918680
node,6314144274,Sunday Bird,,,,37.7836875,-122.4325061
node,6314144275,Wise Sons Bagel & Bakery,,,,37.7836399,-122.4326272
node,6314144276,Subway,,Subway,,37.7835237,-122.4326084
node,6447016759,Chipotle,,Chipotle,,37.7818240,-122.4456575
node,6467152932,Subway,,Subway,,37.7945298,-122.3951458
node,6511795337,Jamba Juice,,Jamba,,37.7665115,-122.4087000
node,6530472559,Ladle & Leaf,,,,37.7935501,-122.3941502
node,6530472561,Cafe Elena,,,,37.7936789,-122.3941594
node,6530472562,Matko: Flavors of Korea,,,,37.7936516,-122.3939859
node,6530472564,Coast Poke Counter,,,,37.7935991,-122.3940659
node,6530472566,¡Unamas! Mexican Grill,,,,37.7937156,-122.3940894
node,6530472569,Osha Express,,,,37.7936327,-122.3942341
node,6530526413,Onigilly,,,,37.7945655,-122.3960494
node,6530526414,Harborview Go,,,,37.7947082,-122.3959848
node,6530526415,Sushi Kinta,,,,37.7946339,-122.3956683
node,6530526416,Crêpe & Curry,,,,37.7946559,-122.3954678
node,6582227558,Noodleme,,,,37.7920665,-122.3972060
node,6604012614,Mateo’s,,,,37.7757843,-122.4181249
node,6615153568,Subway,,Subway,,37.7302601,-122.4762820
node,6615295101,Chipotle,,Chipotle,,37.7276435,-122.4765212
node,6615295126,Shihlin Taiwan Street Snacks,,,,37.7277876,-122.4766092
node,6615295127,Marugame Udon,,,,37.7274721,-122.4764660
node,6635786989,Ike’s,,,,37.7280247,-122.4767410
node,6635786993,Villa,,,,37.7279982,-122.4766583
node,6635786998,Glowing,,,,37.7277486,-122.4768045
node,6635787003,Gangnam Korean BBQ,,,,37.7280211,-122.4768285
node,6635787006,Great Steak,,,,37.7279647,-122.4766116
node,6635787011,Tokyo Express,,,,37.7277355,-122.4767341
node,6635787016,Silk Road,,,,37.7278772,-122.4768742
node,6635787021,Poke Bowl,,,,37.7280034,-122.4769049
node,6654106657,Donario’s Pizza,,,,37.7795064,-122.4936093
node,6655857385,Chong Qing Xiao Mian,,,,37.7964224,-122.4053470
node,6685670585,StreetTaco,,,,37.7696520,-122.4489884
node,6699744287,Aria Korean Street Food,,,,37.7864900,-122.4180446
node,6757511694,Shake Shack,,,,37.7979181,-122.4355026
node,6773294856,Subway,,Subway,,37.7817210,-122.4455029
node,6791676317,Wing Lee B.B.Q. Restaurant,,,,37.7828079,-122.4645682
node,6815206677,Slice House,,,,37.7698306,-122.4475455
node,6833462301,Xiao Long Bao Restaurant,,,,37.7827776,-122.4658811
node,6833462308,King's Thai Cuisine #1,,,,37.7827537,-122.4661707
node,6833462347,Red A Bakery,,,,37.7830014,-122.4661387
node,6833789427,Hippie Thai Street Food,,,,37.7702801,-122.4457879
node,6833789439,VeganBurg,,,,37.7701718,-122.4464920
node,6852954255,Marina Submarine,,,,37.7968013,-122.4369675
node,6903764685,Ava and Joeseph 4 ever,,,,37.7697968,-122.4496113
node,6967455618,Ingleside Pizza,,,,37.7145139,-122.4702440
node,7236121692,Burger King,,Burger King,,37.7813691,-122.4612630
node,8660683671,Myrtle’s Good Pie,,,,37.7659521,-122.4021550
node,8755084919,Le Sandwich,,,,37.8016565,-122.4119210
node,8870738753,Boudin,,,,37.7286110,-122.4767787
node,8870738755,Jamba Juice,,Jamba Juice,,37.7275057,-122.4769463
node,8870738757,Honey Bar,,,,37.7280008,-122.4767451
node,9181840531,Bellissimo Pizza,,,,37.7884521,-122.4156131
node,9194418333,The Halal Guys,,The Halal Guys,,37.7862637,-122.4104324
node,9200430821,Takoyaki Yamachan,,,,37.7850947,-122.4305027
node,9251446487,Project Juice,,,,37.7606743,-122.4351669
