featureType,latitude,longitude
fastFood,37.7277876,-122.4766092
fastFood,37.7274721,-122.4764660
fastFood,37.7280247,-122.4767410
fastFood,37.7279982,-122.4766583
fastFood,37.7277486,-122.4768045
fastFood,37.7280211,-122.4768285
fastFood,37.7279647,-122.4766116
fastFood,37.7277355,-122.4767341
fastFood,37.7278772,-122.4768742
fastFood,37.7280034,-122.4769049
fastFood,37.7795064,-122.4936093
fastFood,37.7964224,-122.4053470
fastFood,37.7696520,-122.4489884
fastFood,37.7864900,-122.4180446
fastFood,37.7979181,-122.4355026
fastFood,37.7817210,-122.4455029
fastFood,37.7828079,-122.4645682
fastFood,37.7698306,-122.4475455
fastFood,37.7827776,-122.4658811
fastFood,37.7827537,-122.4661707
fastFood,37.7830014,-122.4661387
fastFood,37.7702801,-122.4457879
fastFood,37.7701718,-122.4464920
fastFood,37.7968013,-122.4369675
fastFood,37.7697968,-122.4496113
fastFood,37.7145139,-122.4702440
fastFood,37.7813691,-122.4612630
fastFood,37.7659521,-122.4021550
fastFood,37.8016565,-122.4119210
fastFood,37.7286110,-122.4767787
fastFood,37.7275057,-122.4769463
fastFood,37.7280008,-122.4767451
fastFood,37.7884521,-122.4156131
fastFood,37.7862637,-122.4104324
fastFood,37.7850947,-122.4305027
fastFood,37.7606743,-122.4351669
fastFood,37.7843163,-122.4063045
fastFood,37.7843350,-122.4059497
fastFood,37.7844144,-122.4059364
fastFood,37.7844425,-122.4059800
fastFood,37.7851535,-122.4197631
fastFood,37.7884611,-122.4155373
fastFood,37.7922661,-122.4032401
fastFood,37.7937265,-122.4047853
fastFood,37.7845223,-122.4034680
fastFood,37.7882695,-122.4037001
supermarket,37.7767382,-122.3942265
supermarket,37.7862650,-122.4528047
supermarket,37.7811499,-122.3997789
supermarket,37.8000223,-122.4416127
supermarket,37.7606657,-122.4365592
supermarket,37.7986741,-122.4090015
supermarket,37.8064387,-122.4128900
supermarket,37.7266010,-122.4762084
supermarket,37.7632581,-122.4196733
supermarket,37.7797642,-122.4099802
supermarket,37.7900899,-122.4234142
supermarket,37.7367631,-122.3897193
supermarket,37.7709988,-122.4077368
supermarket,37.7418624,-122.3871928
supermarket,37.7168741,-122.4415313
supermarket,37.7928844,-122.4162342
supermarket,37.7796231,-122.4075474
supermarket,37.7965466,-122.4217072
supermarket,37.7760091,-122.4460620
supermarket,37.7237981,-122.4546813
supermarket,37.7504228,-122.4181255
supermarket,37.7492129,-122.4180336
supermarket,37.7522423,-122.4205203
supermarket,37.7119724,-122.4528163
supermarket,37.7303902,-122.4051055
supermarket,37.7570365,-122.4209796
supermarket,37.7346227,-122.4337115
supermarket,37.8054807,-122.4137896
supermarket,37.7852546,-122.4310324
supermarket,37.7907686,-122.4179305
supermarket,37.7959769,-122.4149018
supermarket,37.7949012,-122.3928736
supermarket,37.7777160,-122.4381600
supermarket,37.7729450,-122.4304920
supermarket,37.7687435,-122.4270651
supermarket,37.7415785,-122.4053683
supermarket,37.7529431,-122.4087167
supermarket,37.7694214,-122.4505453
supermarket,37.7902045,-122.4207829
supermarket,37.7979062,-122.4085421
supermarket,37.7984110,-122.4086385
supermarket,37.8076369,-122.4155301
supermarket,37.7884234,-122.4165679
supermarket,37.7839057,-122.4819672
supermarket,37.7427662,-122.4792960
supermarket,37.7764867,-122.4116366
supermarket,37.7614046,-122.4247040
supermarket,37.7639653,-122.4127878
supermarket,37.7494370,-122.4136230
supermarket,37.7955290,-122.4100247
supermarket,37.7969706,-122.4083521
supermarket,37.7970928,-122.4086681
supermarket,37.7548560,-122.4123130
supermarket,37.7538710,-122.4162680
supermarket,37.7603364,-122.4194100
supermarket,37.7765597,-122.4168330
supermarket,37.7528358,-122.4183448
supermarket,37.7797491,-122.4876360
supermarket,37.7948993,-122.4149473
supermarket,37.7840258,-122.4788199
supermarket,37.7840482,-122.4107866
supermarket,37.7857309,-122.4145173
supermarket,37.7929179,-122.4163322
supermarket,37.7944737,-122.4182553
supermarket,37.7842393,-122.4111301
supermarket,37.7879975,-122.4118912
supermarket,37.7643298,-122.4027236
supermarket,37.7742721,-122.3914120
supermarket,37.7853980,-122.4056288
supermarket,37.7730913,-122.4389783
supermarket,37.7935837,-122.4110435
supermarket,37.7891143,-122.3918140
supermarket,37.7972287,-122.4352703
supermarket,37.7103977,-122.4676500
supermarket,37.7528609,-122.4104106
supermarket,37.8091295,-122.4187761
supermarket,37.7528381,-122.5035845
supermarket,37.7788891,-122.4141120
home,37.773985714285715,-122.51110285714286
home,37.77697142857143,-122.51110285714286
home,37.77995714285714,-122.51110285714286
home,37.735171428571434,-122.50635428571428
home,37.73815714285715,-122.50635428571428
home,37.74114285714286,-122.50635428571428
home,37.744128571428575,-122.50635428571428
home,37.74711428571429,-122.50635428571428
home,37.7501,-122.50635428571428
home,37.75308571428572,-122.50635428571428
home,37.75607142857143,-122.50635428571428
home,37.759057142857145,-122.50635428571428
home,37.76204285714286,-122.50635428571428
home,37.771,-122.50635428571428
home,37.773985714285715,-122.50635428571428
home,37.77697142857143,-122.50635428571428
home,37.77995714285714,-122.50635428571428
home,37.7292,-122.50160571428572
home,37.735171428571434,-122.50160571428572
home,37.73815714285715,-122.50160571428572
home,37.74114285714286,-122.50160571428572
